,Unnamed: 0,E_HOMO_PM6[eV],E_LUMO_PM6[eV],DipoleMoment [D],IsotropicAverageAlpha [A.U.],AverageBeta [A.U.], AverageGamma [A.U.],S1(CAS2-1+CIS) [eV],S2(CAS2-1+CIS) [eV],INDOS-OscStr(CAS2-1+CIS),CI-Coef**2(CAS2-1+CIS),T1(CAS2-1+CIS) [eV],T2(CAS2-1+CIS) [eV],nAcid,naAromAtom,nAromBond,nAtom,nHeavyAtom,nH,nB,nC,nN,nO,nS,nF,nX,nBase,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,nBondsD,nBondsD2,nBondsT,nBondsM,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,Sv,Sse,Spe,Sare,Sp,Si,Mv,Mse,Mpe,Mare,Mp,Mi,nHBAcc,nHBAcc2,nHBAcc3,nHBAcc_Lipinski,nHBDon,nHBDon_Lipinski,nAtomLC,nAtomP,nAtomLAC,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,n8Ring,n9Ring,n10Ring,nFRing,nF4Ring,nF5Ring,nF6Ring,nF7Ring,nF8Ring,nF9Ring,nF10Ring,nHeteroRing,n3HeteroRing,n4HeteroRing,n5HeteroRing,n6HeteroRing,n7HeteroRing,n8HeteroRing,n9HeteroRing,n10HeteroRing,nF4HeteroRing,nF5HeteroRing,nF6HeteroRing,nF7HeteroRing,nF8HeteroRing,nF9HeteroRing,nF10HeteroRing,nT4HeteroRing,nT5HeteroRing,nT6HeteroRing,nT7HeteroRing,nT8HeteroRing,nT9HeteroRing,nT10HeteroRing,nRotB,RotBFrac,nRotBt,RotBtFrac, DRC(PUHF)
1,10011906,-8.96602,-2.01587,2.504,95.38005,991.0772,56233.57907000001,0.7875711999999999,2.5596892,0.0004,0.0,0.2335664999998244,1.2471534999998244,0.0,6.0,6.0,11.0,8.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,11.0,7.0,4.0,1.0,4.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.086632403826584,11.32119446467589,11.164705882352944,11.324000000000002,8.173879640718562,84.2509754491018,0.7351484003478713,1.0291994967887172,1.014973262032086,1.0294545454545456,0.7430799673380512,7.659179586281983,3.0,3.0,3.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.125,1.0,0.125,0.117375
8,100946630,-9.6838,-0.74648,2.958,56.33557,121.9828,5110.53909,0.0193016,1.0143412,1e-06,0.00986755,-0.9164923000000726,2.929010399999928,0.0,0.0,0.0,11.0,6.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,11.0,10.0,10.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,6.784167718298392,11.3809176984705,11.011764705882356,11.200000000000005,6.956865269461077,83.99372155688623,0.6167425198453085,1.0346288816791365,1.0010695187165777,1.0181818181818183,0.6324422972237342,7.63579286880784,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.953444
18,100973821,-8.044880000000001,0.13996,2.346,87.69985,238.5265,7471.99058,1.0234646,2.6637361,0.000956,0.18049038,-0.32110340000008364,1.9652951999999164,0.0,0.0,0.0,18.0,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,9.980052920822313,17.38310269482884,16.490196078431378,16.680000000000007,11.3920497005988,136.76944491017966,0.5544473844901284,0.9657279274904912,0.9161220043572988,0.9266666666666672,0.6328916500332666,7.598302495009983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.950048
19,100984127,-11.03305,-1.64683,1.582,41.23255,18.8561,640.63829,1.0416317,1.5644581,8e-06,0.00323588,0.04249340000023949,0.1843557000002395,0.0,0.0,0.0,8.0,7.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,6.0,7.0,6.0,6.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.6833405251373925,9.807720320466133,10.08627450980392,10.428,4.538798203592814,69.78418742514971,0.7104175656421741,1.2259650400582671,1.2607843137254902,1.3035,0.5673497754491017,8.723023428143714,2.0,5.0,4.0,2.0,1.0,1.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,5.0,0.8333333333333334,0.562087
20,100984271,-8.61009,-0.98775,0.252,65.92564,4.1611,1605.27646,1.4735826,2.8087102,0.00492,0.14317494,0.14633920000005676,1.3189264000000571,0.0,0.0,0.0,10.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,8.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599582739670264,10.101966496722504,9.83529411764706,9.976,6.914474251497005,76.94800718562875,0.6599582739670264,1.0101966496722503,0.9835294117647059,0.9976,0.6914474251497005,7.694800718562876,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647462
21,100984273,-8.491430000000001,-0.8623700000000001,4.453,63.68872,122.2395,1238.4542800000004,0.5877418000000001,1.9692712,1.5e-05,0.00412126,0.034031500000082815,0.4855283000000828,0.0,0.0,0.0,10.0,6.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.0,8.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.599582739670264,10.101966496722504,9.83529411764706,9.976,6.914474251497005,76.94800718562875,0.6599582739670264,1.0101966496722503,0.9835294117647059,0.9976,0.6914474251497005,7.694800718562876,2.0,2.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527845
31,101022885,-9.62358,-1.25177,4.657,67.27731,227.668,5139.18781,0.0448124,0.9245773000000002,2e-06,0.0,-0.5333528999999544,3.0639883000000454,0.0,0.0,0.0,12.0,6.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,11.0,11.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,7.383446977406884,11.826656955571739,11.368627450980394,11.508000000000004,8.05434610778443,91.27320838323357,0.6152872481172401,0.985554746297645,0.9473856209150328,0.9590000000000002,0.6711955089820357,7.606100698602796,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522379999999999
34,101036606,-9.69417,1.09691,1.7280000000000002,84.57921999999998,44.4257,2218.20542,2.6228946,3.3443029,0.007984,0.32029862,0.05108820000009473,3.2892857000000952,0.0,0.0,0.0,18.0,7.0,11.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,18.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,9.738016486871569,17.546249089584848,16.682352941176475,16.908000000000005,11.050732335329338,138.72980419161678,0.5410009159373094,0.9747916160880472,0.9267973856209152,0.9393333333333336,0.6139295741849632,7.707211343978709,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.879871
44,101079721,-8.898810000000003,-0.80607,5.155,94.17518,377.3197,14575.64321,2.2881421000000004,2.6194798,0.000477,0.28496986,0.1103502999999364,2.1457329999999364,0.0,0.0,0.0,13.0,8.0,5.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,10.0,10.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,8.827332179930796,13.213401310997813,12.854901960784314,13.028000000000004,9.135308383233532,98.02764371257486,0.679025552302369,1.0164154854613705,0.9888386123680244,1.0021538461538464,0.7027160294795025,7.540587977890373,2.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.885748
45,101079723,-9.07356,-0.07975,1.384,88.06868,326.3515,7586.4309,2.2471959,2.3768577,0.00016,0.00462414,0.11414170000011835,1.9574829000001184,0.0,0.0,0.0,15.0,8.0,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,13.0,13.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,9.412324445349077,14.933721777130373,14.42352941176471,14.616000000000005,10.112305988023948,114.86173712574852,0.6274882963566051,0.9955814518086912,0.9615686274509806,0.9744000000000004,0.6741537325349299,7.657449141716567,2.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.862611
